 +7 (495) 215 0500;;;;;;;;;;Верно на 01.06.2013;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;Перечень квартир в продаже ЖК BRAVO;;;;;Секция I;;;;;;;;;
;;;;Перечень квартир в продаже ЖК BRAVO;;;;;Секция II;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Этаж;"Усл.№ 
кв-ры";Номер секции;№ на площад.;Кол-во комнат;S кв-ры без балкона кв.м.;"S кв-ры с балконом 
(k-0,5)";"Цена, 
руб./м2 ";" Стоимость,
руб.   ";;;;;;;;;
;2;48;II;2;1;45,90;49,44;69 000;3 411 360;;;;;;;;;
;;49;II;3;1;44,98;49,21;69 000;3 395 490;;;;;;;;;
;;50;II;4;1;46,45;50,21;69 000;3 464 490;;;;;;;;;
;;51;II;5;1;44,66;48,77;69 000;3 365 130;;;;;;;;;
;;52;II;6;1;46,15;49,99;69 000;3 449 310;;;;;;;;;
;;53;II;7;1;38,82;46,05;71 000;3 269 550;;;;;;;;;
;3;54;II;1;1;39,14;46,37;72 000;3 338 640;;;;;;;;;
;;55;II;2;1;45,90;49,44;69 000;3 411 360;;;;;;;;;
;;56;II;3;1;44,98;49,21;69 000;3 395 490;;;;;;;;;
;;57;II;4;1;46,45;50,21;69 000;3 464 490;;;;;;;;;
;;58;II;5;1;44,66;48,77;69 000;3 365 130;;;;;;;;;
;;59;II;6;1;46,15;49,99;69 000;3 449 310;;;;;;;;;
;;60;II;7;1;38,82;46,05;71 000;3 269 550;;;;;;;;;
;4;62;II;2;1;45,90;49,44;69 000;3 411 360;;;;;;;;;
;;63;II;3;1;44,98;49,21;69 000;3 395 490;;;;;;;;;
;;64;II;4;1;46,45;50,21;69 000;3 464 490;;;;;;;;;
;;65;II;5;1;44,66;48,77;69 000;3 365 130;;;;;;;;;
;;66;II;6;1;46,15;49,99;69 000;3 449 310;;;;;;;;;
;5;68;II;1;1;39,21;43,55;72 000;3 135 600;;;;;;;;;
;;70;II;3;1;45,40;49,36;69 000;3 405 840;;;;;;;;;
;;71;II;4;1;46,50;50,18;69 000;3 462 420;;;;;;;;;
;;72;II;5;1;44,67;48,55;69 000;3 349 950;;;;;;;;;
;;74;II;7;1;39,21;43,79;71 000;3 109 090;;;;;;;;;
;6;76;II;2;1;39,21;49,33;70 000;3 453 100;;;;;;;;;
;;77;II;3;1;45,40;49,36;70 000;3 455 200;;;;;;;;;
;;78;II;4;1;46,50;50,18;70 000;3 512 600;;;;;;;;;
;;79;II;5;1;44,67;48,55;70 000;3 398 500;;;;;;;;;
;7;83;II;2;1;46,03;49,57;70 000;3 469 900;;;;;;;;;
;;84;II;3;1;45,40;49,36;70 000;3 455 200;;;;;;;;;
;;85;II;4;1;46,50;50,09;70 000;3 506 300;;;;;;;;;
;;86;II;5;1;44,67;48,55;70 000;3 398 500;;;;;;;;;
;;87;II;6;1;46,25;50,09;69 000;3 456 210;;;;;;;;;
;;88;II;7;1;39,21;43,79;72 000;3 152 880;;;;;;;;;
;8;89;II;1;1;39,21;43,55;73 000;3 179 150;;;;;;;;;
;;90;II;2;1;46,03;49,57;70 000;3 469 900;;;;;;;;;
;;91;II;3;1;45,40;49,36;70 000;3 455 200;;;;;;;;;
;;92;II;4;1;46,50;50,09;70 000;3 506 300;;;;;;;;;
;;93;II;5;1;44,67;48,55;70 000;3 398 500;;;;;;;;;
;;94;II;6;1;46,25;50,09;69 000;3 456 210;;;;;;;;;
;;95;II;7;1;39,21;43,79;72 000;3 152 880;;;;;;;;;
;9;96;II;1;1;39,21;43,55;73 000;3 179 150;;;;;;;;;
;;97;II;2;1;46,03;49,57;70 000;3 469 900;;;;;;;;;
;;98;II;3;1;45,40;49,36;70 000;3 455 200;;;;;;;;;
;;99;II;4;1;46,50;50,09;70 000;3 506 300;;;;;;;;;
;;100;II;5;1;44,67;48,55;70 000;3 398 500;;;;;;;;;
;;101;II;6;1;46,25;50,09;69 000;3 456 210;;;;;;;;;
;;102;II;7;1;39,21;43,79;72 000;3 152 880;;;;;;;;;
;10;103;II;1;1;39,21;43,55;75 000;3 266 250;;;;;;;;;
;;104;II;2;1;46,03;52,87;75 000;3 965 250;;;;;;;;;
;;105;II;3;3;92,45;99,15;75 000;7 436 250;;;;;;;;;
;;106;II;4;3;87,1;94,28;75 000;7 071 000;;;;;;;;;
;;107;II;5;3;90,56;97,13;75 000;7 284 750;;;;;;;;;
;;108;II;6;1;46,25;53,82;75 000;4 036 500;;;;;;;;;
;;109;II;7;1;39,21;43,79;75 000;3 284 250;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;Перечень квартир в продаже ЖК BRAVO;;;;;Секция III;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Этаж;"Усл.№ 
кв-ры";Номер секции;№ на площад.;Кол-во комнат;S кв-ры без балкона кв.м.;"S кв-ры с балконом 
(k-0,5)";"Цена, 
руб./м2 ";" Стоимость,
руб.   ";;;;;;;;;
;2;110;III;1;1;50,74;55,46;68 000;3 771 280;;;;;;;;;
;;111;III;2;1;49,46;54,82;68 000;3 727 760;;;;;;;;;
;;112;III;3;1;50,14;54,97;68 000;3 737 960;;;;;;;;;
;;113;III;4;1;40,51;44,28;72 000;3 188 160;;;;;;;;;
;;114;III;5;1;43,06;46,46;71 000;3 298 660;;;;;;;;;
;;115;III;6;2;62,95;69,69;72 000;5 017 680;;;;;;;;;
;3;116;III;1;1;50,74;55,46;68 000;3 771 280;;;;;;;;;
;;117;III;2;1;49,46;54,82;68 000;3 727 760;;;;;;;;;
;;118;III;3;1;50,14;54,97;68 000;3 737 960;;;;;;;;;
;;119;III;4;1;40,51;44,28;72 000;3 188 160;;;;;;;;;
;;120;III;5;1;43,06;46,46;71 000;3 298 660;;;;;;;;;
;;121;III;6;2;62,95;69,69;72 000;5 017 680;;;;;;;;;
;4;122;III;1;1;50,74;55,46;68 000;3 771 280;;;;;;;;;
;;123;III;2;1;49,46;54,82;68 000;3 727 760;;;;;;;;;
;;124;III;3;1;50,14;54,97;68 000;3 737 960;;;;;;;;;
;;125;III;4;1;40,51;44,28;72 000;3 188 160;;;;;;;;;
;;126;III;5;1;43,06;46,46;71 000;3 298 660;;;;;;;;;
;;127;III;6;2;62,95;69,69;72 000;5 017 680;;;;;;;;;
;5;128;III;1;1;50,66;55,38;68 000;3 765 840;;;;;;;;;
;;129;III;2;1;49,43;54,35;68 000;3 695 800;;;;;;;;;
;;130;III;3;1;50,25;54,24;68 000;3 688 320;;;;;;;;;
;;131;III;4;1;40,54;44,31;72 000;3 190 320;;;;;;;;;
;;132;III;5;1;42,96;51,27;71 000;3 640 170;;;;;;;;;
;;133;III;6;2;62,77;69,51;72 000;5 004 720;;;;;;;;;
;6;134;III;1;1;50,66;55,38;69 000;3 821 220;;;;;;;;;
;;135;III;2;1;49,43;54,35;69 000;3 750 150;;;;;;;;;
;;136;III;3;1;50,25;54,24;69 000;3 742 560;;;;;;;;;
;;137;III;4;1;40,54;44,31;73 000;3 234 630;;;;;;;;;
;;138;III;5;1;42,96;51,27;72 000;3 691 440;;;;;;;;;
;;139;III;6;2;62,77;69,51;73 000;5 074 230;;;;;;;;;
;7;140;III;1;1;50,66;55,38;69 000;3 821 220;;;;;;;;;
;;141;III;2;1;49,43;54,79;69 000;3 780 510;;;;;;;;;
;;142;III;3;1;50,25;55,08;69 000;3 800 520;;;;;;;;;
;;144;III;5;1;42,96;51,27;70 000;3 588 900;;;;;;;;;
;;145;III;6;2;62,77;69,51;73 000;5 074 230;;;;;;;;;
;8;146;III;1;1;50,66;55,38;69 000;3 821 220;;;;;;;;;
;;147;III;2;1;49,43;54,79;69 000;3 780 510;;;;;;;;;
;;148;III;3;1;50,25;55,08;69 000;3 800 520;;;;;;;;;
;;150;III;5;1;42,96;51,27;72 000;3 691 440;;;;;;;;;
;;151;III;6;2;62,77;69,51;73 000;5 074 230;;;;;;;;;
;9;152;III;1;1;50,66;55,38;69 000;3 821 220;;;;;;;;;
;;153;III;2;1;49,43;54,79;69 000;3 780 510;;;;;;;;;
;;154;III;3;1;50,25;55,08;69 000;3 800 520;;;;;;;;;
;;155;III;4;1;40,54;44,31;73 000;3 234 630;;;;;;;;;
;;156;III;5;1;42,96;51,27;72 000;3 691 440;;;;;;;;;
;;157;III;6;2;62,77;69,51;73 000;5 074 230;;;;;;;;;
;10;158;III;1;1;50,66;55,38;75 000;4 153 500;;;;;;;;;
;;159;III;2;1;49,43;54,79;75 000;4 109 250;;;;;;;;;
;;160;III;3;1;50,25;59,05;75 000;4 428 750;;;;;;;;;
;;161;III;4;3;81,3;89,1;75 000;6 682 500;;;;;;;;;
;;162;III;5;3;80,16;96,78;75 000;7 258 500;;;;;;;;;
;;163;III;6;2;62,77;69,51;75 000;5 213 250;;;;;;;;;
;11;164;III;6;2;62,95;69,69;75 000;5 226 750;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
